,itsAG,run_time,t
0,10000.0,8.357710599899292,0.05
1,10000.0,8.167502164840698,0.05
2,10000.0,8.368627786636353,0.05
3,10000.0,8.217472553253174,0.05
4,10000.0,8.213587522506714,0.05
5,10000.0,8.247165441513062,0.05
6,10000.0,8.2787504196167,0.05
7,10000.0,8.293152809143066,0.05
8,10000.0,8.252455949783325,0.05
9,10000.0,8.13522720336914,0.05
10,10000.0,8.3430016040802,0.05
11,10000.0,8.431339740753174,0.05
12,10000.0,8.419477939605713,0.05
13,10000.0,8.61937928199768,0.05
14,10000.0,8.417113780975342,0.05
15,10000.0,8.419198513031006,0.05
16,10000.0,8.417706489562988,0.05
17,10000.0,9.111469507217407,0.05
18,10000.0,8.954286336898804,0.05
19,10000.0,9.972807168960571,0.05
20,10000.0,8.510060787200928,0.05
21,10000.0,8.394946098327637,0.05
22,10000.0,8.432112693786621,0.05
23,10000.0,8.41487741470337,0.05
24,10000.0,8.620681762695312,0.05
25,10000.0,8.41458535194397,0.05
26,10000.0,8.617581367492676,0.05
27,10000.0,8.345630407333374,0.05
28,10000.0,8.409952878952026,0.05
29,10000.0,8.438926696777344,0.05
30,10000.0,8.502905368804932,0.05
31,10000.0,8.380562782287598,0.05
32,10000.0,8.397897243499756,0.05
33,10000.0,8.510481595993042,0.05
34,10000.0,8.37554407119751,0.05
35,10000.0,8.388712644577026,0.05
36,10000.0,8.596872568130493,0.05
37,10000.0,8.63802456855774,0.05
38,10000.0,9.030176877975464,0.05
39,10000.0,8.37827754020691,0.05
40,10000.0,8.347183227539062,0.05
41,10000.0,8.388504981994629,0.05
42,10000.0,8.316201210021973,0.05
43,10000.0,8.622941970825195,0.05
44,10000.0,8.417790412902832,0.05
45,10000.0,8.39563775062561,0.05
46,10000.0,8.373018026351929,0.05
47,10000.0,8.587867498397827,0.05
48,10000.0,8.387717962265015,0.05
49,10000.0,8.39094853401184,0.05
