,itsA,run_time,t
0,383.0,0.27491211891174316,0.060000000000000005
1,178.0,0.12598776817321777,0.060000000000000005
2,145.0,0.10245037078857422,0.060000000000000005
3,295.0,0.21145224571228027,0.060000000000000005
4,143.0,0.10141634941101074,0.060000000000000005
5,177.0,0.1273362636566162,0.060000000000000005
6,172.0,0.12237167358398438,0.060000000000000005
7,303.0,0.21876168251037598,0.060000000000000005
8,127.0,0.09316658973693848,0.05
9,179.0,0.12783169746398926,0.060000000000000005
10,371.0,0.2676248550415039,0.060000000000000005
11,303.0,0.2296314239501953,0.060000000000000005
12,250.0,0.18420195579528809,0.060000000000000005
13,153.0,0.10866141319274902,0.060000000000000005
14,180.0,0.12715506553649902,0.060000000000000005
15,160.0,0.11286330223083496,0.060000000000000005
16,152.0,0.10756516456604004,0.060000000000000005
17,445.0,0.3198418617248535,0.060000000000000005
18,180.0,0.12694787979125977,0.060000000000000005
19,175.0,0.12353134155273438,0.060000000000000005
20,678.0,0.48377037048339844,0.060000000000000005
21,111.0,0.07884454727172852,0.060000000000000005
22,331.0,0.23836255073547363,0.060000000000000005
23,163.0,0.14832687377929688,0.060000000000000005
24,143.0,0.10159897804260254,0.060000000000000005
25,125.0,0.08854103088378906,0.060000000000000005
26,168.0,0.1205587387084961,0.060000000000000005
27,569.0,0.406064510345459,0.060000000000000005
28,559.0,0.3981285095214844,0.060000000000000005
29,104.0,0.07346510887145996,0.060000000000000005
30,154.0,0.10941863059997559,0.060000000000000005
31,178.0,0.12806987762451172,0.060000000000000005
32,135.0,0.09720349311828613,0.060000000000000005
33,162.0,0.11495399475097656,0.060000000000000005
34,452.0,0.3242170810699463,0.060000000000000005
35,312.0,0.22434735298156738,0.060000000000000005
36,237.0,0.17058873176574707,0.060000000000000005
37,126.0,0.09113121032714844,0.060000000000000005
38,522.0,0.3719363212585449,0.060000000000000005
39,132.0,0.09391379356384277,0.060000000000000005
40,151.0,0.10985207557678223,0.060000000000000005
41,187.0,0.13403844833374023,0.060000000000000005
42,165.0,0.11797595024108887,0.060000000000000005
43,159.0,0.11369943618774414,0.060000000000000005
44,251.0,0.1807241439819336,0.060000000000000005
45,140.0,0.10172200202941895,0.060000000000000005
46,171.0,0.12278151512145996,0.060000000000000005
47,155.0,0.11162161827087402,0.060000000000000005
48,158.0,0.11219310760498047,0.060000000000000005
49,159.0,0.1141059398651123,0.060000000000000005
