,itsSGD,run_time,t
0,100.0,0.07363486289978027,0.05
1,100.0,0.07294416427612305,0.05
2,100.0,0.07326507568359375,0.05
3,100.0,0.0735173225402832,0.05
4,100.0,0.07308244705200195,0.05
5,100.0,0.07259273529052734,0.05
6,100.0,0.07337093353271484,0.05
7,100.0,0.07258176803588867,0.05
8,100.0,0.07242131233215332,0.05
9,100.0,0.0723111629486084,0.05
10,100.0,0.07203245162963867,0.05
11,100.0,0.07232785224914551,0.05
12,100.0,0.07245230674743652,0.05
13,100.0,0.07158780097961426,0.05
14,100.0,0.07127499580383301,0.05
15,100.0,0.0723574161529541,0.05
16,100.0,0.07489514350891113,0.05
17,100.0,0.07010340690612793,0.05
18,100.0,0.07315993309020996,0.05
19,100.0,0.06970906257629395,0.05
20,100.0,0.07073736190795898,0.05
21,100.0,0.07097148895263672,0.05
22,100.0,0.07174324989318848,0.05
23,100.0,0.0723109245300293,0.05
24,100.0,0.07301068305969238,0.05
25,100.0,0.07061433792114258,0.05
26,100.0,0.0718696117401123,0.05
27,100.0,0.07042336463928223,0.05
28,100.0,0.06993246078491211,0.05
29,100.0,0.07197713851928711,0.05
30,100.0,0.07255816459655762,0.05
31,100.0,0.07002568244934082,0.05
32,100.0,0.07140731811523438,0.05
33,100.0,0.0757894515991211,0.05
34,100.0,0.07428836822509766,0.05
35,100.0,0.07042312622070312,0.05
36,100.0,0.07209229469299316,0.05
37,100.0,0.07034540176391602,0.05
38,100.0,0.0703120231628418,0.05
39,100.0,0.0718686580657959,0.05
40,100.0,0.07184457778930664,0.05
41,100.0,0.0712740421295166,0.05
42,100.0,0.07155179977416992,0.05
43,100.0,0.07255339622497559,0.05
44,100.0,0.06988358497619629,0.05
45,100.0,0.0723574161529541,0.05
46,100.0,0.07045817375183105,0.05
47,100.0,0.07404518127441406,0.05
48,100.0,0.07274985313415527,0.05
49,100.0,0.07297635078430176,0.05
